,x,y,z,vx,vy,vz,roll,pitch,yaw
0.17930000000000001,-0.0004148491004135024,0.00020755317650993652,10.042947563222974,-0.00926228848049433,0.004635457354765258,0.479046618306442,-0.00621808207579555,-0.006217962191076509,1.9303291913269742e-05
0.1794,-0.00041577532926155184,0.00020801672224541305,10.042995467884804,-0.00927778477932313,0.004643217549812906,0.47931360678826485,-0.00622501820775101,-0.006224897921226269,1.9346396200299918e-05
0.17950000000000002,-0.00041670310773948415,0.00020848104400039434,10.043043399245484,-0.00929329833611203,0.004650986400738547,0.47958059516238033,-0.006231958206599053,-0.006231837517146843,1.9389572637575152e-05
0.1796,-0.00041763243757309535,0.0002089461426404682,10.043091357305,-0.0093088291604193,0.004658763912366336,0.4798475834286083,-0.006238902072341457,-0.006238780978837788,1.943282130557009e-05
0.1797,-0.0004185633204891373,0.00020941201903170483,10.043139342063343,-0.009324377261803098,0.004666550089520428,0.48011457158676824,-0.006245849804979997,-0.006245728306298215,1.9476142284804257e-05
0.17980000000000002,-0.0004194957582153176,0.00020987867404065688,10.043187353520501,-0.00933994264982148,0.004674344937024974,0.4803815596366796,-0.006252801404516006,-0.006252679499527236,1.951953565584206e-05
0.1799,-0.00042042975248029975,0.00021034610853435938,10.043235391676465,-0.009355525334032397,0.0046821484597041226,0.4806485475781616,-0.006259756870951705,-0.006259634558523963,1.956300149929279e-05
0.18000000000000002,-0.000421365305013703,0.0002108143233803298,10.043283456531222,-0.009371125323993696,0.0046899606623820225,0.48091553541103316,-0.006266716204288425,-0.006266593483287508,1.960653989581062e-05
0.1801,-0.00042230241754610235,0.00021128331944656798,10.043331548084764,-0.009386742629263117,0.004697781549882819,0.4811825231351131,-0.006273679404527943,-0.0062735562738169826,1.96501509260946e-05
0.1802,-0.0004232410918090287,0.00021175309760155628,10.043379666337078,-0.009402377259398298,0.004705611127030654,0.48144951075022,-0.006280646471672036,-0.0062805229301119425,1.969383467088867e-05
0.18030000000000002,-0.0004241813295349685,0.00021222365871425934,10.043427811288153,-0.00941802922395677,0.004713449398649671,0.48171649825617224,-0.006287617405722035,-0.006287493452171056,1.9737591210981644e-05
0.1804,-0.0004251231324573642,0.0002126950036541243,10.043475982937979,-0.009433698532495958,0.004721296369564008,0.481983485652788,-0.006294592206680161,-0.006294467839993878,1.9781420627207224e-05
0.18050000000000002,-0.0004260665023106138,0.0002131671332910807,10.043524181286545,-0.009449385194573187,0.0047291520445978015,0.48225047293988527,-0.006301570874547746,-0.006301446093579521,1.9825323000443995e-05
0.1806,-0.0004270114408300711,0.00021364004849554048,10.043572406333839,-0.00946508921974567,0.004737016428575187,0.4825174601172818,-0.006308553409326567,-0.006308428212926653,1.986929841161542e-05
0.1807,-0.0004279579497520457,0.000214113750138398,10.04362065807985,-0.00948081061757052,0.004744889526320297,0.4827844471847952,-0.0063155398110184,-0.00631541419803483,1.9913346941689852e-05
0.18080000000000002,-0.00042890603081380274,0.00021458823909103003,10.04366893652457,-0.00949654939760474,0.004752771342657261,0.4830514341422428,-0.006322530079624578,-0.006322404048903163,1.9957468671680518e-05
